source_image_relpath,patch_relpath,patch_index,confidence,monitoring_station,transect,assigned_annotator
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3124.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3124\Coral28.JPG,28,0.1674,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3111.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3111\Coral12.JPG,12,0.3946,Coral Garden S,T1,3
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4852.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4852\Coral4.JPG,4,0.2929,Coral Garden S,T1,3
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4826.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4826\Coral1.JPG,1,0.8511,Coral Garden S,T1,3
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4849.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4849\Coral46.JPG,46,0.1833,Coral Garden S,T1,3
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4859.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4859\Coral1.JPG,1,0.8457,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3128.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3128\Coral5.JPG,5,0.5642,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3134.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3134\Coral6.JPG,6,0.2715,Coral Garden S,T1,3
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4854.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4854\Coral9.JPG,9,0.2216,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3100.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3100\Coral17.JPG,17,0.2549,Coral Garden S,T1,3
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4853.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4853\Coral12.JPG,12,0.2105,Coral Garden S,T1,3
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4842.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4842\Coral10.JPG,10,0.2796,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3132.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3132\Coral20.JPG,20,0.2204,Coral Garden S,T1,3
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4855.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4855\Coral2.JPG,2,0.552,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3089.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3089\Coral22.JPG,22,0.2402,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3122.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3122\Coral15.JPG,15,0.167,Coral Garden S,T1,3
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4885.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4885\Coral4.JPG,4,0.3575,Coral Garden S,T1,3
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4843.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4843\Coral13.JPG,13,0.1611,Coral Garden S,T1,3
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4840.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4840\Coral3.JPG,3,0.3641,Coral Garden S,T1,3
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4851.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4851\Coral17.JPG,17,0.3218,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3133.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3133\Coral10.JPG,10,0.1514,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3111.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3111\Coral9.JPG,9,0.4426,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3113.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3113\Coral6.JPG,6,0.6114,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3109.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3109\Coral16.JPG,16,0.3083,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3088.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3088\Coral2.JPG,2,0.5318,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3134.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3134\Coral4.JPG,4,0.3583,Coral Garden S,T1,3
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4836.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4836\Coral4.JPG,4,0.5038,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3090.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3090\Coral1.JPG,1,0.7815,Coral Garden S,T1,3
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4825.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4825\Coral9.JPG,9,0.2436,Coral Garden S,T1,3
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4843.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4843\Coral9.JPG,9,0.2994,Coral Garden S,T1,3
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4847.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4847\Coral13.JPG,13,0.3569,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3106.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3106\Coral5.JPG,5,0.4847,Coral Garden S,T1,3
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4851.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4851\Coral9.JPG,9,0.4765,Coral Garden S,T1,3
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4851.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4851\Coral34.JPG,34,0.1571,Coral Garden S,T1,3
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4851.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4851\Coral22.JPG,22,0.2574,Coral Garden S,T1,3
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4851.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4851\Coral13.JPG,13,0.4126,Coral Garden S,T1,3
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4851.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4851\Coral2.JPG,2,0.719,Coral Garden S,T1,3
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4851.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4851\Coral30.JPG,30,0.1829,Coral Garden S,T1,3
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4851.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4851\Coral26.JPG,26,0.2184,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3133.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3133\Coral9.JPG,9,0.1527,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3111.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3111\Coral7.JPG,7,0.4522,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3111.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3111\Coral8.JPG,8,0.4486,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3111.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3111\Coral16.JPG,16,0.256,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3111.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3111\Coral11.JPG,11,0.4106,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3111.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3111\Coral1.JPG,1,0.8039,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3111.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3111\Coral6.JPG,6,0.5044,Coral Garden S,T1,3
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4861.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4861\Coral5.JPG,5,0.3706,Coral Garden S,T1,3
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4861.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4861\Coral4.JPG,4,0.3781,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3102.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3102\Coral14.JPG,14,0.254,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3102.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3102\Coral22.JPG,22,0.2034,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3102.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3102\Coral2.JPG,2,0.753,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3102.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3102\Coral21.JPG,21,0.209,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3102.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3102\Coral1.JPG,1,0.781,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3102.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3102\Coral4.JPG,4,0.5375,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3104.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3104\Coral12.JPG,12,0.3926,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3104.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3104\Coral26.JPG,26,0.2134,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3104.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3104\Coral18.JPG,18,0.2937,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3104.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3104\Coral11.JPG,11,0.4446,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3110.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3110\Coral4.JPG,4,0.685,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3110.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3110\Coral2.JPG,2,0.777,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3110.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3110\Coral36.JPG,36,0.1898,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3110.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3110\Coral37.JPG,37,0.1832,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3110.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3110\Coral35.JPG,35,0.1994,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3110.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3110\Coral18.JPG,18,0.425,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3110.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3110\Coral12.JPG,12,0.5092,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3119.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3119\Coral8.JPG,8,0.2777,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3119.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3119\Coral10.JPG,10,0.2637,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3119.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3119\Coral15.JPG,15,0.1564,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3119.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3119\Coral9.JPG,9,0.277,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3113.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3113\Coral10.JPG,10,0.5425,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3113.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3113\Coral15.JPG,15,0.4511,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3113.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3113\Coral33.JPG,33,0.2262,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3113.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3113\Coral20.JPG,20,0.4256,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3113.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3113\Coral7.JPG,7,0.5883,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3113.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3113\Coral39.JPG,39,0.1644,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3113.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3113\Coral28.JPG,28,0.3117,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3113.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3113\Coral4.JPG,4,0.6153,Coral Garden S,T1,3
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4886.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4886\Coral7.JPG,7,0.5523,Coral Garden S,T1,3
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4886.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4886\Coral23.JPG,23,0.1672,Coral Garden S,T1,3
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4886.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4886\Coral21.JPG,21,0.1974,Coral Garden S,T1,3
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4864.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4864\Coral6.JPG,6,0.3003,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3092.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3092\Coral34.JPG,34,0.198,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3092.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3092\Coral33.JPG,33,0.2006,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3092.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3092\Coral38.JPG,38,0.161,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3092.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3092\Coral20.JPG,20,0.358,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3092.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3092\Coral8.JPG,8,0.58,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3092.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3092\Coral1.JPG,1,0.8026,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3092.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3092\Coral23.JPG,23,0.3331,Coral Garden S,T1,3
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4845.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4845\Coral8.JPG,8,0.1852,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3109.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3109\Coral26.JPG,26,0.2042,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3109.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3109\Coral4.JPG,4,0.5387,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3109.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3109\Coral30.JPG,30,0.1753,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3109.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3109\Coral25.JPG,25,0.2104,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3109.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3109\Coral6.JPG,6,0.4959,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3109.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3109\Coral8.JPG,8,0.4419,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3109.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3109\Coral3.JPG,3,0.6288,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3146.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3146\Coral9.JPG,9,0.1934,Coral Garden S,T2,3
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3167\Coral5.JPG,5,0.7332,Coral Garden S,T2,3
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3185.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3185\Coral10.JPG,10,0.1875,Coral Garden S,T2,3
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3171.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3171\Coral4.JPG,4,0.4359,Coral Garden S,T2,3
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3173.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3173\Coral15.JPG,15,0.1664,Coral Garden S,T2,3
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T2\GOPR4945.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T2\GOPR4945\Coral20.JPG,20,0.285,Coral Garden S,T2,3
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T2\GOPR4898.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T2\GOPR4898\Coral1.JPG,1,0.4268,Coral Garden S,T2,3
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3166\Coral2.JPG,2,0.7816,Coral Garden S,T2,3
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T2\GOPR4919.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T2\GOPR4919\Coral19.JPG,19,0.2096,Coral Garden S,T2,3
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3179.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3179\Coral17.JPG,17,0.171,Coral Garden S,T2,3
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3155.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3155\Coral1.JPG,1,0.5697,Coral Garden S,T2,3
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T2\GOPR4944.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T2\GOPR4944\Coral32.JPG,32,0.1598,Coral Garden S,T2,3
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T2\GOPR4934.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T2\GOPR4934\Coral15.JPG,15,0.1517,Coral Garden S,T2,3
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3176.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3176\Coral1.JPG,1,0.377,Coral Garden S,T2,3
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3147.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3147\Coral1.JPG,1,0.7427,Coral Garden S,T2,3
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T2\GOPR4935.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T2\GOPR4935\Coral8.JPG,8,0.6197,Coral Garden S,T2,3
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T2\GOPR4915.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T2\GOPR4915\Coral16.JPG,16,0.24,Coral Garden S,T2,3
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T2\GOPR4928.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T2\GOPR4928\Coral7.JPG,7,0.2049,Coral Garden S,T2,3
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3159.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3159\Coral4.JPG,4,0.5996,Coral Garden S,T2,3
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T2\GOPR4926.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T2\GOPR4926\Coral5.JPG,5,0.24,Coral Garden S,T2,3
